Model,F1_Macro,F1_Micro,ROC_AUC,PR_AUC,Hamming_Loss,Subset_Accuracy,Overfitting,Time(min),Params,Epochs,Loss,Embedding_Trainable,RNN_units,Dropout
Baseline_LR_TFIDF,0.5655674352598733,0.6808158350267178,0.9813973471001048,0.6499077116249709,0.029530135918003565,0.8798880347593583,,,,,,,,
model_1_LSTM_simple,0.5892360661459981,0.7640994542146755,0.9837272779104697,0.6608768253734278,0.01625167112299465,0.9244234625668449,55.742627567410274,32.096788144111635,6094130.0,11.0,bce,False,64.0,
model_1_GRU_simple,0.6088667488633311,0.7681959642606164,0.9846629218200177,0.6732669290577887,0.016077595811051695,0.9247159090909091,64.79004830779466,28.15651133855184,6070962.0,10.0,bce,False,64.0,
model_2_LSTM_wloss,0.5976423203696754,0.7120834630956089,0.9842202190852514,0.6597441082494409,0.025749220142602496,0.8970588235294118,58.86848520084427,29.32186244726181,6094130.0,10.0,weighted_bce,False,64.0,
model_2_GRU_wloss,0.6223743762403667,0.7285450012064667,0.9846122425238337,0.6744381343006873,0.023500167112299464,0.9026988636363636,71.15653057166436,23.102533666292825,6070962.0,8.0,weighted_bce,False,64.0,
model_3_BiLSTM,0.6237302986691838,0.7632260068330055,0.9849403689385839,0.6737860029693877,0.015924409536541888,0.9258856951871658,63.355616394056135,44.412198793888095,6187954.0,10.0,bce,False,64.0,
model_3_BiGRU,0.5950265032304376,0.7638789122626988,0.9852099017701815,0.6779656202893133,0.016021891711229946,0.9253425802139037,64.95135082046146,32.723023903369906,6141618.0,8.0,bce,False,64.0,
model_7_BiLSTM_Reg,0.6438823855058085,0.7712986756275944,0.9856091584376756,0.6762536199289008,0.016112410873440286,0.9254679144385026,26.96850793577684,70.21545518636704,6187954.0,15.0,bce,False,64.0,"{'emb_dr': 0.2, 'rnn_dr': 0.2, 'pre_output_dr': 0.3}"
model_8_GRU_Simple128,0.5988261969208416,0.7693236714975845,0.9852455788284403,0.6786832640718372,0.015959224598930483,0.9257603609625669,15.363023023934971,75.6223325252533,6166194.0,14.0,bce,False,128.0,"{'emb_dr': 0.2, 'rnn_dr': 0.2, 'pre_output_dr': 0.2}"
model_9_BiLSTM_32,0.6166196328935637,0.7658705858338436,0.9851759051584755,0.6795798508488486,0.015973150623885917,0.9258856951871658,17.299425950096943,37.84155526955922,6085938.0,12.0,bce,False,32.0,"{'emb_dr': 0.1, 'rnn_dr': 0.1, 'pre_output_dr': 0.2}"
model_10_BiGRU_Reg,0.6283662746879195,0.7691376701966717,0.9850024713008118,0.6881235334804763,0.015938335561497326,0.9258856951871658,23.007922259220333,65.44300677776337,6141618.0,13.0,bce,False,64.0,"{'emb_dr': 0.2, 'rnn_dr': 0.2, 'pre_output_dr': 0.3}"
model_11_BiLSTM_drop2,0.608182258412975,0.7622392067754596,0.983531571527569,0.6638699157852004,0.016028854723707665,0.9262199197860963,13.660436249541155,58.43773106336594,6187954.0,12.0,bce,False,64.0,"{'emb_dr': 0.2, 'rnn_dr': 0.2, 'pre_output_dr': 0.5}"
